facility_id,name,state,agency,rec_area,lat,lon,reservable,booking,total_sites,electric,water,sewer,pets,campfires,max_rv_length_ft,confirmed_free,book_url,nps_url
10039071,Wildwood,OK,USACE,Fort Gibson Lake,35.975224,-95.288691,True,reservable,32,True,True,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10039071,
10039838,Ahart Campground,CA,FS,Tahoe National Forest,39.145997,-120.408204,True,reservable,12,False,False,False,True,False,,False,https://www.recreation.gov/camping/campgrounds/10039838,
10039845,Gull Lake Campground,CA,FS,Inyo National Forest,37.772485,-119.083540,True,reservable,11,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10039845,
10039857,Anvil Lake Campground,WI,FS,Chequamegon-Nicolet NF,45.935772,-89.062123,True,partly,19,False,False,False,True,True,40,False,https://www.recreation.gov/camping/campgrounds/10039857,
10039876,Dam Site East,OK,USACE,Eufaula Lake,35.309520,-95.357250,True,reservable,10,True,True,False,True,True,40,False,https://www.recreation.gov/camping/campgrounds/10039876,
10039887,Dark Day Campground,CA,FS,Tahoe National Forest,39.429375,-121.107953,True,reservable,10,False,False,False,True,True,45,False,https://www.recreation.gov/camping/campgrounds/10039887,
10039899,Elm Point,OK,USACE,Eufaula Lake,35.309520,-95.357250,True,reservable,22,True,True,False,True,True,40,False,https://www.recreation.gov/camping/campgrounds/10039899,
10039993,Garden Point Boat-In Campground,CA,FS,Tahoe National Forest,39.433331,-121.124167,True,reservable,16,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10039993,
10040012,Hornswoggle Group Campground,CA,FS,Tahoe National Forest,39.415144,-121.120833,True,reservable,6,False,False,False,True,True,80,False,https://www.recreation.gov/camping/campgrounds/10040012,
10040020,Long Valley Group Campground,AZ,FS,Coconino National Forest Recreation,34.521167,-111.329889,True,reservable,1,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10040020,
10040022,Madrone Cove Boat-In Campground,CA,FS,Tahoe National Forest,39.469206,-121.164167,True,reservable,10,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10040022,
10040033,Oak Ridge,OK,USACE,Eufaula Lake,35.309520,-95.357250,True,reservable,13,True,False,False,True,True,25,False,https://www.recreation.gov/camping/campgrounds/10040033,
10040047,Schoolhouse Campground,CA,FS,Tahoe National Forest,39.418078,-121.120833,True,reservable,56,False,False,False,True,True,92,False,https://www.recreation.gov/camping/campgrounds/10040047,
10040524,Brush Creek Public Use Area,OK,USACE,Keystone Lake,36.150868,-96.246994,True,reservable,18,True,True,True,True,True,70,False,https://www.recreation.gov/camping/campgrounds/10040524,
10040547,Grout Pond Campground,VT,FS,Green Mountain & Finger Lakes National Forests,43.045530,-72.954570,True,reservable,18,False,False,False,True,True,14,False,https://www.recreation.gov/camping/campgrounds/10040547,
10040569,Little Mattie Campground,CO,FS,White River National Forest,39.376749,-106.807471,True,reservable,19,False,False,False,True,True,30,False,https://www.recreation.gov/camping/campgrounds/10040569,
10040591,Oh Be Joyful Campground,CO,BLM,Gunnison,38.914376,-107.032762,True,reservable,30,False,False,False,True,False,58,False,https://www.recreation.gov/camping/campgrounds/10040591,
10040622,Ophir Creek Campground,CO,FS,Pike and San Isabel National Forests & Cimarron and Comanche National Grasslands,38.062494,-105.104731,True,reservable,31,False,False,False,True,True,15,False,https://www.recreation.gov/camping/campgrounds/10040622,
10040993,Ken's Lake Campground,UT,BLM,,38.478029,-109.423530,True,partly,48,False,False,False,True,True,60,False,https://www.recreation.gov/camping/campgrounds/10040993,
10041284,Damsite Texas,TX,USACE,Lake Texoma,33.818233,-96.559938,True,reservable,20,True,True,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10041284,
10041304,Deep Creek Campground,NC,NPS,Great Smoky Mountains National Park,35.460938,-83.434393,True,reservable,92,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10041304,https://www.nps.gov/grsm/planyourvisit/deep-creek-campground.htm
10041410,Painted Rock Petroglyph Campground,AZ,BLM,Lower Sonoran Field Office,33.024370,-113.045430,True,reservable,64,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10041410,
10041495,Sunset Bay,OK,USACE,Heyburn Lake,35.946669,-96.306760,True,reservable,14,False,False,False,True,True,45,False,https://www.recreation.gov/camping/campgrounds/10041495,
10041510,Walnut Creek,OK,USACE,Keystone Lake,36.252782,-96.279967,True,reservable,53,True,True,True,True,True,50,False,https://www.recreation.gov/camping/campgrounds/10041510,
10041866,Flamingo Campground,FL,NPS,Everglades National Park,25.137301,-80.939476,False,first-come,0,False,False,False,False,False,,False,,
10044710,Atwell Mill Campground,CA,NPS,Sequoia & Kings Canyon National Parks,36.464744,-118.667181,True,reservable,22,False,False,False,True,True,20,False,https://www.recreation.gov/camping/campgrounds/10044710,https://www.nps.gov/seki/planyourvisit/atwell.htm
10044761,Moraine Campground,CA,NPS,Sequoia & Kings Canyon National Parks,36.784487,-118.661091,True,reservable,121,False,False,False,True,True,66,False,https://www.recreation.gov/camping/campgrounds/10044761,
10044765,Sheep Creek Campground,CA,NPS,Sequoia & Kings Canyon National Parks,36.784503,-118.661089,True,reservable,111,False,False,False,True,True,97,False,https://www.recreation.gov/camping/campgrounds/10044765,https://www.nps.gov/seki/planyourvisit/sheep_creek.htm
10046288,Pat's Bluff,MS,USACE,Sardis Lake,34.420628,-89.732477,True,reservable,16,True,True,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10046288,
10046512,Beehives Primitive Campground,AZ,NPS,Glen Canyon National Recreation Area,36.938243,-111.496291,False,first-come,0,False,False,False,False,False,,False,,https://www.pay.gov/public/form/start/1578620920
10046897,Riggs Lake,AZ,FS,Coronado National Forest,32.708475,-109.962339,True,reservable,1,False,False,False,True,False,40,False,https://www.recreation.gov/camping/campgrounds/10046897,
10046915,Mortimer Campground,NC,FS,National Forests in North Carolina,35.991078,-81.761275,True,reservable,17,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10046915,
10046933,Hobo Campground,CA,FS,Sequoia National Forest,35.574459,-118.528778,True,reservable,25,False,False,False,True,True,17,False,https://www.recreation.gov/camping/campgrounds/10046933,
10046989,Bear River Campground,UT,FS,Uinta-Wasatch-Cache National Forest,40.910075,-110.830017,True,reservable,5,False,False,False,True,True,20,False,https://www.recreation.gov/camping/campgrounds/10046989,
10046994,Beaver View Campground,UT,FS,Uinta-Wasatch-Cache National Forest,40.825493,-110.862823,True,reservable,19,False,False,False,True,True,45,False,https://www.recreation.gov/camping/campgrounds/10046994,
10047013,Botts Campground,UT,FS,Uinta-Wasatch-Cache National Forest,41.277174,-111.658159,True,reservable,9,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10047013,
10047031,Butterfly Campground,UT,FS,Uinta-Wasatch-Cache National Forest,40.720648,-110.866996,True,reservable,21,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10047031,
10047057,China Meadows Trailhead Campground,UT,FS,Uinta-Wasatch-Cache National Forest,40.922975,-110.404517,True,reservable,17,False,False,False,True,True,12,False,https://www.recreation.gov/camping/campgrounds/10047057,
10047085,Brandy Creek RV Campground,CA,NPS,Whiskeytown National Recreation Area,40.613599,-122.602266,True,reservable,15,False,False,False,True,False,,False,https://www.recreation.gov/camping/campgrounds/10047085,https://www.nps.gov/whis/planyourvisit/brandy-creek-rv.htm
10047120,Lake Ottawa Campground,MI,FS,Ottawa National Forest,46.075046,-88.765882,True,partly,32,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10047120,
10047182,Warner Valley Campground,CA,NPS,Lassen Volcanic National Park,40.442257,-121.395694,True,reservable,17,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10047182,https://lassenlodging.com/warner-campground/
10047884,Deadhorse Trailhead Campground,WY,FS,Uinta-Wasatch-Cache National Forest,41.033706,-110.366206,True,reservable,5,False,False,False,True,True,30,False,https://www.recreation.gov/camping/campgrounds/10047884,
10047895,Hayden Fork Campground,UT,FS,Uinta-Wasatch-Cache National Forest,40.830388,-110.853735,True,reservable,10,False,False,False,True,True,20,False,https://www.recreation.gov/camping/campgrounds/10047895,
10047913,Hoop Lake Campground,UT,FS,Uinta-Wasatch-Cache National Forest,40.925876,-110.123262,True,reservable,46,False,False,False,True,True,25,False,https://www.recreation.gov/camping/campgrounds/10047913,
10047958,Lewis M. Turner Campground,UT,FS,Uinta-Wasatch-Cache National Forest,41.885144,-111.571436,True,reservable,11,False,False,False,True,True,45,False,https://www.recreation.gov/camping/campgrounds/10047958,
10047969,Lilly Lake Campground,UT,FS,Uinta-Wasatch-Cache National Forest,40.680551,-110.938565,True,reservable,15,False,False,False,True,True,50,False,https://www.recreation.gov/camping/campgrounds/10047969,
10047984,Little Lyman Lake Campground,UT,FS,Uinta-Wasatch-Cache National Forest,40.934792,-110.612283,True,reservable,11,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10047984,
10047995,Magpie Campground,UT,FS,Uinta-Wasatch-Cache National Forest,41.270264,-111.667206,True,reservable,12,False,False,False,True,True,20,False,https://www.recreation.gov/camping/campgrounds/10047995,
10048006,Maple Bench Campground,UT,FS,Uinta-Wasatch-Cache National Forest,39.963000,-111.692399,True,reservable,11,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10048006,
